,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,Palaia Fokaia,37.72,23.9463,58.6,78,59,7.94,GR,1645510167
276,Jutaí,-5.1833,-68.9,72.68,99,100,1.68,BR,1645510173
277,Nur-Sultan,51.1801,71.446,21.15,73,100,6.71,KZ,1645510178
278,Vestmanna,62.1564,-7.1664,36.52,87,100,19.57,FO,1645510183
279,Hastings,50.8552,0.5729,50.0,81,88,17.74,GB,1645510189
280,Ufa,54.775,56.0375,22.37,90,100,8.9,RU,1645510196
281,Paamiut,61.994,-49.6678,-5.8,89,99,12.86,GL,1645510202
282,Praia,14.9215,-23.5087,70.34,73,75,17.27,CV,1645510209
283,San Patricio,28.017,-97.5169,71.69,88,26,24.87,US,1645510215
284,Sorgues,44.0102,4.8738,49.71,65,0,25.32,FR,1645510220
285,Danville,36.586,-79.395,59.56,72,100,0.0,US,1645510226
286,Filingué,14.3521,3.3168,64.02,12,3,10.22,NE,1645510231
287,Jalu,29.0331,21.5482,55.4,94,33,7.38,LY,1645510236
288,Lagoa,39.05,-27.9833,56.59,67,12,2.51,PT,1645510242
289,Dakar,14.6937,-17.4441,68.88,83,61,17.18,SN,1645510205
290,Grootfontein,-19.5667,18.1167,67.57,88,75,6.91,NA,1645510258
291,Shīeli,44.1667,66.75,45.54,54,99,5.53,KZ,1645510269
292,Nioro,13.35,-15.75,71.94,33,42,4.99,GM,1645510274
293,Marion,39.7684,-86.1555,57.52,84,100,18.41,US,1645510280
294,Kyaikkami,16.08,97.5675,82.08,52,17,4.79,MM,1645510285
295,Vung Tau,10.346,107.0843,81.82,71,96,11.74,VN,1645510291
296,Kushmurun,52.4503,64.6311,29.7,97,100,7.56,KZ,1645510296
297,Ushtobe,45.2514,77.9838,31.51,79,6,10.36,KZ,1645510303
298,Kaifeng,34.7911,114.3483,45.54,19,96,5.93,CN,1645510308
299,Tupsan,9.1992,124.7769,82.65,65,92,6.53,PH,1645510314
300,Puro,12.4841,123.3827,80.42,79,98,18.92,PH,1645510319
301,Flinders,-34.5833,150.8552,72.18,88,100,5.99,AU,1645510325
302,Oka,45.4649,-74.0889,17.74,61,100,14.97,CA,1645510330
303,Sonepur,20.8333,83.9167,88.16,11,5,3.96,IN,1645510336
304,Lompoc,34.6391,-120.4579,52.12,72,100,25.01,US,1645510341
305,Tiksi,71.6872,128.8694,0.77,87,100,12.44,RU,1645510357
306,Powell,40.1578,-83.0752,56.88,55,100,10.36,US,1645510363
307,Cascais,38.6979,-9.4215,57.06,56,11,15.99,PT,1645510368
308,Evensk,61.95,159.2333,-11.78,81,0,7.96,RU,1645510373
309,Saldanha,-33.0117,17.9442,63.28,79,0,8.86,ZA,1645510379
310,Otane,-39.8833,176.6333,72.01,76,29,5.14,NZ,1645510384
311,Nizwá,22.9333,57.5333,76.73,21,0,3.71,OM,1645510390
312,Egvekinot,66.3167,-179.1667,0.01,96,100,7.38,RU,1645510395
313,Kiama,-34.6833,150.8667,72.37,91,100,7.0,AU,1645510401
314,Sørland,67.667,12.6934,19.47,48,28,7.16,NO,1645510406
315,Kuytun,54.3419,101.5036,18.75,87,43,10.67,RU,1645510412
316,La Santisima Trinidad,-14.8333,-64.9,71.87,98,100,3.29,BO,1645510417
317,Thunder Bay,48.4001,-89.3168,-1.44,72,100,5.99,CA,1645510262
318,Constitución,-35.3333,-72.4167,55.54,92,65,8.61,CL,1645510428
319,Esmeraldas,-19.7625,-44.3139,68.86,94,100,2.3,BR,1645510433
320,Krasnyy,54.5678,31.4333,30.88,88,49,14.7,RU,1645510439
321,Bulgan,48.8125,103.5347,16.68,71,24,3.04,MN,1645510449
322,Smithers,54.7804,-127.1743,0.81,94,6,1.92,CA,1645510209
323,Lebanon,36.2081,-86.2911,57.54,86,100,12.66,US,1645510460
324,Puerto Baquerizo Moreno,-0.9,-89.6,75.56,79,22,5.82,EC,1645510354
325,Mazagão,-0.115,-51.2894,78.85,96,100,3.51,BR,1645510476
326,Balyqshy,47.0667,51.8667,35.6,100,75,11.18,KZ,1645510482
327,Codrington,-38.2667,141.9667,65.5,55,0,17.25,AU,1645510487
328,Gizo Government Station,-8.103,156.8419,84.96,68,100,3.51,SB,1645510493
329,Dingle,10.9995,122.6711,81.61,72,100,12.77,PH,1645510498
330,Quimper,48.0,-4.1,53.6,93,100,13.8,FR,1645510504
331,Portland,45.5234,-122.6762,38.25,92,40,5.99,US,1645510509
332,Sangar,63.9242,127.4739,-8.46,89,90,5.12,RU,1645510516
333,Monrovia,6.3005,-10.7969,76.39,85,94,4.0,LR,1645510522
334,Santa Lucía,27.9117,-15.5407,51.12,67,0,10.36,ES,1645510527
335,Zaysan,47.4667,84.8667,17.4,80,3,2.89,KZ,1645510533
336,San Fernando del Valle de Catamarca,-28.4696,-65.7852,67.77,83,99,2.46,AR,1645510538
337,Linfen,36.0889,111.5189,44.71,15,76,5.08,CN,1645510543
338,Airai,-8.9266,125.4092,64.36,86,100,1.81,TL,1645510549
339,Palana,59.1167,159.9667,-7.17,91,98,17.56,RU,1645510554
340,Kisangani,0.5167,25.2,74.41,59,81,1.74,CD,1645510560
341,Matveyevka,52.15,56.1833,23.95,92,100,5.32,RU,1645510565
342,Huarmey,-10.0681,-78.1522,72.45,80,98,4.88,PE,1645510571
343,Baykit,61.67,96.37,21.15,90,99,4.88,RU,1645510581
344,Sterling,39.0062,-77.4286,52.16,63,0,6.91,US,1645510587
345,City of San Pedro,14.35,121.0167,80.35,94,100,9.22,PH,1645510592
346,Hirara,24.8,125.2833,68.27,73,75,14.97,JP,1645510598
347,Miracema do Tocantins,-9.5618,-48.3967,75.43,91,100,1.41,BR,1645510603
348,Concepción del Oro,24.6333,-101.4167,57.85,34,30,6.93,MX,1645510609
349,Aklavik,68.2191,-135.0107,2.12,80,100,23.42,CA,1645510619
350,Pangnirtung,66.1451,-65.7125,-24.21,98,100,1.97,CA,1645510625
351,Marrakesh,31.6315,-8.0083,53.67,43,0,6.91,MA,1645510630
352,Husavik,66.0449,-17.3389,39.11,77,88,37.92,IS,1645510636
353,Rocha,-34.4833,-54.3333,66.9,84,99,10.69,UY,1645510642
354,Tondabayashi,34.5,135.6,47.52,46,75,23.02,JP,1645510647
355,Praia da Vitória,38.7333,-27.0667,54.75,87,40,4.36,PT,1645510654
356,Anloga,5.7947,0.8973,79.63,88,60,10.31,GH,1645510578
357,Naurskaya,43.6519,45.3133,43.74,78,64,10.92,RU,1645510664
358,Banepā,27.6298,85.5214,57.52,55,20,3.44,NP,1645510670
359,Pompéu,-19.2244,-44.9353,65.23,96,100,1.97,BR,1645510676
360,Charlestown,-32.95,151.6667,82.02,78,89,4.0,AU,1645510681
361,Kasongo-Lunda,-6.4667,16.8167,70.81,96,100,0.31,CD,1645510686
362,Uray,60.1247,64.7758,19.15,91,38,8.84,RU,1645510694
363,Port Hedland,-20.3167,118.5667,96.85,52,55,14.97,AU,1645510700
364,Brae,60.3964,-1.353,40.91,96,100,37.49,GB,1645510705
365,Kaitangata,-46.2817,169.8464,51.67,93,98,4.25,NZ,1645510710
366,Dhārchula,29.85,80.5333,65.89,17,31,5.95,IN,1645510716
367,Anadyr,64.75,177.4833,-7.1,84,40,15.66,RU,1645510723
368,Granada,37.25,-3.25,44.29,37,0,3.69,ES,1645510728
369,Kapuskasing,49.4169,-82.4331,-7.51,71,100,11.5,CA,1645510734
370,Renqiu,38.6989,116.0936,33.78,26,0,5.79,CN,1645510739
371,St. George's,12.0564,-61.7485,76.32,81,32,13.13,GD,1645510744
372,Maceió,-9.6658,-35.7353,74.64,88,20,3.44,BR,1645510750
373,Punta Alta,-38.8759,-62.0736,64.08,79,98,9.8,AR,1645510755
374,Bridgewater,44.3835,-64.5155,35.28,89,99,2.3,CA,1645510761
375,Bilibino,68.0546,166.4372,-31.05,99,100,2.55,RU,1645510766
376,Katoro,-3.0203,31.8958,67.17,76,100,1.86,TZ,1645510772
377,Nanning,22.8167,108.3167,46.85,69,100,10.0,CN,1645510777
378,Alekseyevsk,57.8406,108.3492,22.8,85,80,7.11,RU,1645510783
379,Laas,46.6166,10.7002,32.88,93,94,10.11,IT,1645510788
380,Sitka,57.0531,-135.33,30.09,64,0,6.91,US,1645510794
381,Wufeng,27.45,104.8333,28.56,75,100,8.43,CN,1645510799
382,Srednekolymsk,67.45,153.6833,-33.38,98,46,5.14,RU,1645510806
383,Moose Factory,51.2585,-80.6094,-16.6,63,40,0.0,CA,1645510812
384,Sines Municipality,37.9562,-8.8698,54.28,55,3,8.61,PT,1645510817
385,Henties Bay,-22.116,14.2845,69.85,80,76,2.8,NA,1645510822
386,Iralaya,15.0,-83.2333,75.67,83,100,9.71,HN,1645510828
387,Hofn,64.2539,-15.2082,37.81,92,100,50.69,IS,1645510833
388,Valle Hermoso,25.6667,-97.8333,71.89,89,5,25.14,MX,1645510839
389,Pimenta Bueno,-11.6725,-61.1936,70.23,98,100,0.49,BR,1645510789
390,Arlit,18.7369,7.3853,63.23,10,0,6.04,NE,1645510850
391,Calamar,10.2511,-74.9146,76.95,73,10,3.31,CO,1645510855
392,Manado,1.487,124.8455,81.37,78,40,5.75,ID,1645510860
393,La Tuque,47.4334,-72.7824,3.45,60,97,8.05,CA,1645510866
394,Port Keats,-14.25,129.55,87.58,64,96,6.67,AU,1645510871
395,Soure,-0.7167,-48.5233,78.64,87,100,11.63,BR,1645510877
396,Takoradze,4.8845,-1.7554,78.75,91,50,6.96,GH,1645510882
397,Zwedru,6.0667,-8.1281,70.41,98,98,2.26,LR,1645510888
398,San Cristobal,7.7669,-72.225,64.89,84,98,1.72,VE,1645510898
399,Ust-Nera,64.5667,143.2,-23.98,95,57,3.58,RU,1645510909
400,Venice,27.0998,-82.4543,66.97,88,75,6.91,US,1645510915
401,Honiara,-9.4333,159.95,83.28,84,100,3.44,SB,1645510920
402,Dutse,11.7594,9.3392,60.13,20,59,5.99,NG,1645510926
403,Vallenar,-28.5708,-70.7581,64.18,65,0,1.03,CL,1645510931
404,Tiznit Province,29.5833,-9.5,63.75,29,98,12.08,MA,1645510936
405,Boone,39.0334,-92.3335,64.06,85,100,1.99,US,1645510942
406,Paka,4.6374,103.4368,84.13,79,40,8.05,MY,1645510947
407,Huilong,31.8111,121.655,45.99,51,100,7.92,CN,1645510958
408,Fairbanks,64.8378,-147.7164,19.81,85,75,4.61,US,1645510802
409,Bathsheba,13.2167,-59.5167,77.61,78,40,16.11,BB,1645510974
410,Altamira,-3.2033,-52.2064,71.71,99,90,2.21,BR,1645510980
411,Hasaki,35.7333,140.8333,46.8,39,32,5.88,JP,1645510985
412,Kem',64.9555,34.5793,2.23,100,100,4.0,RU,1645510873
413,Ola,59.5833,151.2833,2.82,80,1,3.04,RU,1645510996
414,Pahlgām,34.0333,75.3333,33.48,94,100,3.67,IN,1645511001
415,Pimentel,-6.8367,-79.9342,71.29,78,56,7.02,PE,1645511007
416,Sawākin,19.1059,37.3321,72.21,55,34,10.29,SD,1645511012
417,Ajdabiya,30.7554,20.2263,56.7,79,33,9.31,LY,1645511019
418,Wawa,9.9022,4.4192,72.34,25,49,4.72,NG,1645511024
419,Lavrentiya,65.5833,-171.0,27.12,98,100,6.15,RU,1645511030
420,Santa Isabel Rio Negro,-0.4139,-65.0192,72.77,98,72,1.36,BR,1645511035
421,Safi,32.2994,-9.2372,61.86,61,0,10.04,MA,1645511041
422,Trelew,-43.249,-65.3051,53.67,63,80,7.45,AR,1645511046
423,Tabou,4.423,-7.3528,77.85,91,100,6.82,CI,1645510786
424,Tutayev,57.8853,39.5406,33.28,99,100,9.17,RU,1645511057
425,Kuito,-12.3833,16.9333,59.38,90,67,2.77,AO,1645510840
426,Saint-Pierre,-21.3393,55.4781,85.68,70,20,4.61,RE,1645511067
427,Oparino,59.8518,48.2783,24.04,97,93,5.79,RU,1645511078
428,Puerto Escondido,15.85,-97.0667,77.31,70,6,6.2,MX,1645511084
429,Zhigansk,66.7697,123.3711,-5.91,96,98,10.47,RU,1645511094
430,Nicoya,10.1483,-85.452,74.75,71,12,13.85,CR,1645511100
431,La Roda,39.2167,-2.15,42.91,29,1,4.99,ES,1645511105
432,Ukiah,39.1502,-123.2078,44.49,78,40,12.66,US,1645511116
433,Cave,41.8167,12.9338,44.02,86,46,7.0,IT,1645511115
434,Sinnamary,5.3833,-52.95,76.55,89,100,7.05,GF,1645511127
435,Latung,5.5,120.8833,79.18,79,100,4.47,PH,1645511132
436,Severodvinsk,64.5635,39.8302,19.51,99,99,3.29,RU,1645511138
437,Bissau,11.8636,-15.5977,68.11,94,21,3.44,GW,1645511143
438,Rio Bonito,-22.7086,-42.6097,78.12,94,96,1.61,BR,1645511149
439,Bemidji,47.4736,-94.8803,-3.08,80,0,12.66,US,1645511154
440,Lewes,50.8736,0.0113,50.2,91,97,11.99,GB,1645511160
441,Hamilton,39.1834,-84.5333,58.59,68,20,13.8,US,1645511165
442,Astoria,46.1879,-123.8313,37.85,91,75,1.99,US,1645511170
443,Nyurba,63.2842,118.3319,14.95,88,100,6.67,RU,1645511176
444,Vila Velha,-20.3297,-40.2925,73.35,92,0,3.44,BR,1645511181
445,Mnogovershinnyy,53.9353,139.9242,2.35,75,4,5.21,RU,1645511187
446,Hambantota,6.1241,81.1185,89.94,66,40,4.61,LK,1645511192
447,Maniwaki,46.3834,-75.966,18.14,85,100,8.05,CA,1645511198
448,Alvorada,-12.48,-49.1247,71.22,98,100,4.03,BR,1645511203
449,Northam,51.0333,-4.2167,52.92,88,97,22.21,GB,1645511209
450,Neuquén,-38.9516,-68.0591,55.29,76,75,5.75,AR,1645511106
451,Ilo,-17.6394,-71.3375,70.39,85,90,4.27,PE,1645511220
452,Broken Hill,-31.95,141.4333,83.91,28,2,11.5,AU,1645511230
453,Alice Springs,-23.7,133.8833,96.22,43,0,10.36,AU,1645511236
454,Shache,38.4167,77.2406,37.71,28,79,4.0,CN,1645511241
455,Kimberley,-28.7323,24.7623,69.49,40,0,3.44,ZA,1645511247
456,Kieta,-6.2167,155.6333,84.15,76,67,2.51,PG,1645511252
457,Marsá Maţrūḩ,31.3525,27.2453,59.45,52,90,13.22,EG,1645511258
458,Dwārka,22.2394,68.9678,76.55,66,0,11.7,IN,1645511263
459,Ishigaki,24.3448,124.1572,68.13,77,75,11.5,JP,1645511274
460,Grajaú,-5.8194,-46.1386,71.53,95,52,1.1,BR,1645511279
461,Guerrero Negro,27.9769,-114.0611,58.66,64,8,12.64,MX,1645511285
462,Ancud,-41.8697,-73.8203,50.43,80,0,7.96,CL,1645511290
463,Mitsamiouli,-11.3847,43.2844,79.09,94,100,5.75,KM,1645511296
464,Saint Stephen,50.3333,-4.9,52.07,87,100,21.85,GB,1645511301
465,Nokaneng,-19.6667,22.2667,76.64,55,39,3.31,BW,1645511307
466,Inhambane,-23.865,35.3833,82.38,69,20,6.91,MZ,1645511312
467,Zelenogorskiy,55.0333,87.0,25.32,84,100,9.46,RU,1645511317
468,Atambua,-9.1061,124.8925,75.43,87,100,2.1,ID,1645511323
469,Andra,62.5147,65.8878,16.2,93,87,5.5,RU,1645511334
470,Shingū,33.7333,135.9833,47.39,40,8,15.64,JP,1645511339
471,Bridlington,54.0831,-0.1919,44.69,88,100,10.0,GB,1645511344
472,Kahului,20.8947,-156.47,75.85,83,40,11.5,US,1645511350
473,Nagapattinam,10.7667,79.8333,84.99,58,21,7.56,IN,1645511355
474,Chipinge,-20.1883,32.6236,71.87,77,25,3.31,ZW,1645511361
475,Greenfield,42.9614,-88.0126,37.06,92,100,13.8,US,1645511366
476,Clyde,41.3042,-82.9752,55.38,57,95,15.39,US,1645511359
477,Korla,41.7597,86.1469,36.9,33,0,2.13,CN,1645511382
478,Leningradskiy,69.3833,178.4167,-22.27,98,100,10.89,RU,1645511388
479,Tautira,-17.7333,-149.15,80.62,73,24,16.82,PF,1645511393
480,Kavaratti,10.5669,72.642,80.89,61,0,9.44,IN,1645511399
481,Inverkip,55.9083,-4.8705,50.47,88,100,19.35,GB,1645511404
482,Dickinson,29.4608,-95.0513,75.42,92,100,17.27,US,1645511410
483,Paita,-5.0892,-81.1144,71.28,77,26,5.97,PE,1645511416
484,Ust-Kuyga,70.0167,135.6,-21.14,91,94,8.14,RU,1645511421
485,Cockburn Town,21.4612,-71.1419,76.95,75,1,20.49,TC,1645511294
486,Mushie,-3.0167,16.9,74.34,89,100,2.8,CD,1645511432
487,Sistranda,63.7256,8.834,31.96,56,57,7.18,NO,1645511443
488,Bonavista,48.6499,-53.1147,24.8,58,22,24.34,CA,1645511448
489,Qandala,11.472,49.8728,77.85,62,25,4.52,SO,1645511454
490,San Jose,37.3394,-121.895,50.09,75,75,5.75,US,1645511364
491,Östersund,63.1792,14.6357,12.65,100,0,8.05,SE,1645511464
492,Canutama,-6.5339,-64.3831,72.68,99,100,1.3,BR,1645511470
493,Mahajanga,-15.7167,46.3167,86.02,79,20,11.5,MG,1645511480
494,Wattegama,6.7989,81.4808,88.72,39,0,6.04,LK,1645511486
495,Curup,-3.4667,102.5333,78.62,82,65,1.19,ID,1645511492
496,Khani,41.9563,42.9566,40.57,93,18,5.46,GE,1645511498
497,Puerto Carreño,6.189,-67.4859,79.2,54,19,13.73,CO,1645511503
498,Necochea,-38.5473,-58.7368,64.04,92,100,9.44,AR,1645511509
499,Honningsvåg,70.9821,25.9704,26.2,88,100,11.1,NO,1645511514
500,Barra do Garças,-15.89,-52.2567,68.86,96,57,1.25,BR,1645511520
501,Alhama de Murcia,37.851,-1.4251,53.96,27,0,6.51,ES,1645511530
502,Beloha,-25.1667,45.05,90.43,46,1,12.08,MG,1645511536
503,Margate,51.3813,1.3862,46.96,80,100,5.01,GB,1645511540
504,Umeå,63.8284,20.2597,6.73,85,0,6.91,SE,1645511547
505,Nome,64.5011,-165.4064,32.11,93,100,14.97,US,1645511553
506,Shimanovsk,52.0,127.7,14.65,70,62,8.9,RU,1645511535
507,Severo-Kuril'sk,50.6789,156.125,30.99,77,100,28.43,RU,1645511563
508,Boyolangu,-8.1181,111.8935,85.57,68,19,11.72,ID,1645511569
509,Kuala Terengganu,5.3302,103.1408,87.75,74,40,8.05,MY,1645511574
510,Chākan,18.75,73.85,87.64,13,5,6.17,IN,1645511580
511,Kaseda-shirakame,31.4167,130.3167,49.23,55,79,22.12,JP,1645511585
512,Along,28.1667,94.7667,70.95,36,1,2.66,IN,1645511591
513,Kutum,14.2,24.6667,61.93,15,4,7.87,SD,1645511596
514,Stornoway,58.2093,-6.3865,42.76,75,40,24.16,GB,1645511602
515,Guantánamo,20.1444,-75.2092,76.57,87,10,4.59,CU,1645511607
516,Mount Isa,-20.7333,139.5,98.37,12,1,13.8,AU,1645511613
517,Buin,-33.7333,-70.75,63.73,84,6,2.15,CL,1645511618
518,Mbandaka,0.0487,18.2603,80.01,62,100,0.34,CD,1645511624
519,Sisimiut,66.9395,-53.6735,-15.25,93,29,5.44,GL,1645511629
520,Viedma,-40.8135,-62.9967,59.7,82,87,10.45,AR,1645511635
521,Kenora,49.8167,-94.4337,-9.42,70,75,8.05,CA,1645511641
522,Manicoré,-5.8092,-61.3003,73.67,99,100,2.64,BR,1645511463
523,Linqu,36.5156,118.5397,37.0,20,35,11.05,CN,1645511651
524,Sibolga,1.7427,98.7792,84.83,69,100,5.53,ID,1645511657
525,Iporá,-16.4419,-51.1178,68.77,84,100,2.39,BR,1645511663
526,Philadelphia,39.9523,-75.1638,46.22,77,20,3.44,US,1645511417
527,Chifeng,42.2683,118.9636,19.92,41,6,13.85,CN,1645511674
528,Ouango,4.3133,22.5552,82.63,22,98,1.99,CF,1645511679
529,Vila do Maio,15.1333,-23.2167,70.59,77,100,18.75,CV,1645511685
530,Saint-François,46.4154,3.9054,43.48,83,100,6.91,FR,1645511690
531,Sarkand,45.41,79.9186,38.26,94,0,0.56,KZ,1645511696
532,Quelimane,-17.8786,36.8883,82.35,89,75,8.05,MZ,1645511702
533,Marzuq,14.4,46.4667,70.5,26,50,6.53,YE,1645511707
534,Aguascalientes,21.8833,-102.3,57.9,40,0,8.05,MX,1645511518
535,La Ronge,55.1001,-105.2842,-30.75,68,0,3.44,CA,1645511718
536,Mopipi,-21.1833,24.8833,86.14,39,3,9.71,BW,1645511728
537,Paramonga,-10.6667,-77.8333,72.07,80,100,5.64,PE,1645511734
538,San Policarpo,12.1791,125.5072,79.39,83,100,19.71,PH,1645511739
539,Tonantins,-2.8731,-67.8022,73.31,99,100,1.07,BR,1645511745
540,Belmonte,-15.8631,-38.8828,73.9,85,4,1.92,BR,1645511750
541,Glazov,58.1394,52.6584,29.46,94,98,10.67,RU,1645511756
542,Turukhansk,65.8167,87.9833,19.51,93,100,16.71,RU,1645511762
543,Bontang,0.1333,117.5,81.61,73,100,5.53,ID,1645511767
544,Aykhal,66.0,111.5,15.42,80,46,11.41,RU,1645511533
545,Thohoyandou,-22.9456,30.485,69.12,90,100,4.99,ZA,1645511778
546,Şarkîkaraağaç,38.0794,31.3664,39.96,99,99,6.49,TR,1645511784
547,Lata,40.1629,-8.3327,46.04,64,7,4.43,PT,1645511789
548,Vanimo,-2.6741,141.3028,77.83,91,100,8.55,PG,1645511794
549,Ust'-Ilimsk,58.0006,102.6619,29.19,81,26,8.66,RU,1645511800
